Tara,Infectious and parasitic diseases,Respiratory Infectious ,Maternal conditions,Neonatal conditions,Nutritional deficiencies,Malignant neoplasms,Other neoplasms,Diabetes mellitus,"Endocrine, blood, immune disorders",Mental and substance use disorders,Neurological conditions,Cardiovascular diseases,Respiratory diseases,Digestive diseases,Genitourinary diseases,Skin diseases,Musculoskeletal diseases,Congenital anomalies,Sudden infant death syndrome,Unintentional injuries,Intentional injuries
Albania,3.7,14,0.1,6.6,0.1,100.1,0.4,4.2,2.1,1.2,48.1,393.6,23.1,14.1,9.2,0.1,1,4.4,0.1,20.3,7
Armenia,7.4,27.6,0.3,7.2,0.2,126.9,1.1,17,1.4,1.2,3.9,295.8,21.1,33.6,13.1,0.6,1,9.1,0.1,28.8,6.2
Australia,5.4,7,0.1,2.2,0.5,101.1,2.3,8.5,4.8,7.8,32.7,72.7,22.6,12.4,7.1,1,2.6,2.6,0.2,14,12.3
Austria,5,6,0.1,1.8,0.7,108.3,3.3,8.5,5.8,5.2,23.3,123.2,19.8,16.3,9.5,0.4,1.5,3.9,0.2,17.8,10.9
Azerbaijan,16.1,20,0.5,12.1,0.3,84,0.2,25,3.2,2.8,25.8,595.9,28.1,47.6,21.2,0.1,0.2,5.1,0.2,24.1,6.4
Belarus,5.7,7,0,1.7,0.3,119,0.3,2.2,1,23,21,393,13.2,26,5.7,0.2,0.2,2.9,0.2,34.8,18.8
Belgium,8.4,14.8,0.1,2,1.2,114.1,5.4,4.2,4.8,5.2,34.5,88.7,27.4,19.1,10.1,1,2.2,2.6,0.2,18.8,15.1
Bosnia and Herzegovina,3.3,7.3,0.1,4,0.1,136,0.3,35.9,1,2.3,24.6,295,18.7,20.8,11.5,0.3,0.8,3.6,0.1,22.1,9.5
Bulgaria,6.5,10.7,0.1,3.8,0.2,120.1,0.7,8.1,1.3,1.5,6.5,393.8,37.7,30.4,11.9,0.4,0.3,3.7,0.1,20.1,7.5
Croatia,6.2,8.5,0.1,3.4,0.2,147.9,2.5,16.5,1.1,5.3,19.2,188.1,19.2,23.3,15.4,0.1,1.3,3.6,0.1,22.1,11.9
Cyprus,8.5,4.3,0.1,2.2,0.8,81.8,2.5,14.7,5.9,1.4,22.8,96.1,27.4,11.5,14.5,1.8,2,1.4,0.2,16.7,4.3
Czechia,7.8,16.8,0,2.1,1.3,128.8,2.7,15.4,3.5,4,21.2,182.3,20.6,26,8.3,0.8,1.2,1.8,0.2,22.4,10
Denmark,7.8,13.6,0,3.2,0.6,125.5,2.5,9.1,4.4,10.1,40.1,84.3,35,18,8.4,0.5,2.6,2.3,0,10.4,8.7
Estonia,7,10.5,0.1,1.3,0.2,130.5,3.6,5,2.5,13.8,15.5,205.8,9.4,28.3,6.8,0.8,2.3,2,0.1,20.1,13.8
Finland,2.2,2.8,0,1.3,0.1,95,2.3,3.5,2.4,11,66.1,114.6,11.9,20,2.4,0.2,1.5,3.3,0.2,18.2,14.5
France,6.1,8.1,0.1,3.1,1.9,123.7,4.5,5.7,4.8,5.7,30.7,68.9,16.9,16.1,6.2,0.7,2.4,3.2,0.4,18.7,10.5
Georgia,8.5,13.9,0.4,5.5,0.2,98.9,0.2,24,1.9,2.7,28.2,457,19.8,42.7,13.8,0.2,0.4,5.3,0.2,34.7,9.8
