,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20
Albania,0.05563358243097816,0.1433909810938496,0.03548238701101495,0.5475716445322879,0.0008506059659990296,0.0018355639121590537,0.06146922219618634,0.0051673209431076055,0.0060595461559204405,0.0022882706903735494,0.012155043546389771,0.0032628056346343326,0.0006428525953225677,0.020385815490905308,0.012981017122111905,0.002759688284611981,0.0021821541125952655,0.027479533969601778,0.05724160076679521,0.0011603635451553293
Armenia,0.5032090709257409,0.12783230681717372,0.13598503984837199,0.014934740933642422,0.08872248959518717,0.0005853771287657464,0.00399313026236402,0.04377885590255917,0.005093949226848391,0.011950991059704305,0.026558305659934542,0.006452959572762796,0.008529497250030344,0.008518127889031696,0.00012357823175109916,0.010217355116548026,0.0003567982697099775,0.0008690889091221274,0.0009343931603934167,0.0013539442403578737
Australia,0.6684164497097197,0.0035731194785603867,0.013719700914557197,0.03466872153237888,0.08112680500144637,0.011716515972556173,0.07824721070250137,0.020130690512751785,0.029127007245069614,0.033154988576325393,0.0015758900579895502,0.0058968908456605434,0.0005305369499626667,0.0029594965658646995,0.005697300281139071,0.001541385431468491,0.0013143984860577644,0.003906618966662644,0.0023663339900805635,0.00032993877924719644
Austria,0.32818549803344665,0.010759066079463015,4.6769270038122655e-06,0.0017300275916865813,0.04942717600873655,0.23440004752576102,0.05920462846692746,0.0131683121143842,0.003795108954524152,0.028330093217197587,0.03728482379275035,0.006603210204117566,8.329498807439972e-05,0.09578325933723904,0.07114585168960559,0.01899708521089039,0.001740393571578397,0.016045699006047315,0.01377398515143371,0.009537762129132092
Azerbaijan,0.49215193969297466,0.2699948410985198,0.027548822445877846,0.03676249084619604,0.06427853445439712,0.030247725489957838,0.000997728025169728,0.02658432193351868,0.009365831222240861,0.020827789234730203,0.007582364846164541,0.0017260277263887935,0.00028389331577090076,0.0002997216450458896,1.71758544373075e-05,0.010064587934322992,0.0011047899316289742,0.00013739464764217374,1.4251318327265073e-06,2.259452318267039e-05
Belarus,0.08799148054835351,0.5608238773633825,0.1195446972275203,0.02869352376568774,0.0015488450327841403,0.02889931866808921,0.010071979497008197,0.010116956071509085,0.023171793524448637,0.01046932000444072,0.0004294838899627226,0.08572665293406055,0.011679755174674296,8.080769696424552e-06,0.0007554267780174729,0.0024766261593466596,0.006840595524175077,0.0006121727989234642,0.0076189787630045165,0.0025204355049149676
Belgium,0.4965843783411788,6.352583224302821e-06,0.2182990704330008,0.06732841448923156,6.750074123808633e-05,0.02466782866258183,0.012151232593756786,0.03469604570002327,0.0001617816559013892,0.02786735827765744,0.0008224618000593334,0.006768775603367189,0.00021611611947440422,0.007692729996457197,0.00024160503168525087,0.0015041558153325695,0.09791983033238581,0.0007563646762010842,0.0007454219925407467,0.0015025751547020998
Bosnia and Herzegovina,0.22245797286871305,0.08325518726315867,0.31927294539683976,0.0055590235248197525,0.0003602262992777837,0.04236991826065406,0.08147270513332174,0.10484202984076758,0.010085375940127827,0.0006054072322833636,0.0009020896389982309,0.002854855945836877,0.08226331578631713,0.03289388991752994,0.004075948180836352,1.0788986297755035e-05,0.0035481018187255822,0.0030806409988068206,8.47415274393311e-05,4.83543924827162e-06
Bulgaria,0.2291309363956392,0.16504294168365935,0.11617080892537167,6.842389645449863e-06,0.04806840936888222,0.00452664305250976,0.016220885418802494,0.10461151565854045,0.025166765592011017,0.17578185292515103,0.0038331555011176747,0.010799002801034357,0.000808631807554608,0.005574677207735036,0.038374576871595345,0.0493080600237826,0.00365018924560625,0.0003765063548993942,0.0024589611223784853,8.863765408340918e-05
Croatia,0.1700068203621257,0.010271203468801966,0.3560222996305335,0.0593457004245971,0.10497848260577977,0.0011855799694669312,0.021001220694090057,0.045479594014963355,0.050474104003941596,0.023288791686042955,0.047274522622774144,0.005508486157104037,0.017426871164001007,0.022596955973730362,0.0012422076156545468,0.0002619032931109646,0.00020333894079015271,0.046118677780184185,1.0397350679306866e-05,0.017302842241628487
