,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20
Albania,0.947932981376526,-1.5218436579384602,-0.7570342612650679,-2.9739221524273702,-0.11721233910983829,0.17218442951212906,0.9964097753328938,-0.28889620633129764,-0.3128449649008977,0.19224843787994234,0.4430853390547093,-0.2295644963699787,-0.10189780325472529,-0.5738166758366594,-0.4578924493209021,0.21112474382838456,0.18773784576016977,-0.6662140727341873,0.9615347976265521,0.13690085446113406
Armenia,4.561490980959524,-2.299073750700355,2.371254436037647,-0.7858351246517636,-1.9153557501534013,-0.1555788170508041,-0.4063397684946426,-1.3454414208848164,0.45894421069755853,-0.7029663730194965,-1.0479312038510533,0.5165496386504241,-0.5938739925394267,0.5934780595134708,0.071483132925274,-0.6499827544571833,0.121462987755267,-0.18956785403981533,0.1965610282372809,0.23660993676707207
Australia,-2.577831603082762,0.1884754323421359,0.3693204031569737,-0.5870835237881461,0.8980761545369741,0.34129523384373844,-0.881993554814857,0.4473632605371317,0.5381197241542311,-0.5741236276111265,-0.12516817981493525,0.2421266110400594,-0.07262544343949469,0.17152992556843444,0.23799374004289495,0.12379029672213246,0.11431270563940213,-0.19707498677952073,-0.15338009413477785,-0.057272700408334494
Austria,-1.6368459833994065,-0.2963707991885203,0.006179145471580671,-0.11884328248874959,0.6352300329487783,-1.3833337459744302,-0.695225917448481,-0.327878681239581,0.17601928323117458,-0.4809192106364421,-0.5517142118970588,0.23218046955774313,-0.026076995917870972,-0.8842863667771235,0.7621192215501563,-0.3938144153679035,0.11919879335606588,-0.361932384816203,-0.33533426226992247,0.2790431509496281
Azerbaijan,5.83597576117079,-4.322565788814234,1.380751103195478,-1.5950207731937622,2.1090984963198673,-1.4468057975980957,-0.2627664807332993,1.356365306310596,0.8050763010247309,1.2005644132840467,0.7243796110489615,0.3456111640810963,0.14016560712981888,0.14402004181944833,-0.03447649077787015,0.8345682877898811,-0.2765054735275726,-0.09750991687580439,-0.009930963811945642,-0.039542622551199516
Belarus,1.6603571342057197,4.19174107002876,-1.9352913619610945,-0.9481414714871461,0.2202851309322093,-0.9515355137950726,0.5617442251619195,0.5629970666775403,-0.8520420428623846,-0.5727174784079362,-0.11599910514840359,1.6388497296445566,0.6049201757593814,0.01591136962778294,-0.1538428751161247,-0.2785553011592628,-0.4629436760885293,0.13848993587264058,0.4885731334121156,0.28100820083653355
Belgium,-2.453022480323881,-0.00877364753185189,1.626413403731165,0.903242148890666,0.02859955479314601,-0.5467269260450592,0.38372064747225454,0.6484029651031384,0.044276128554311726,0.5811027118403693,0.09983041340223399,0.2863914576879291,0.05117390776414871,-0.30531296468699887,-0.0541075648879762,-0.1350054855547348,1.089282001530903,-0.09573497334213216,-0.095039928846838,-0.13493453082180265
Bosnia and Herzegovina,2.1010713598071074,-1.2853531497210504,-2.5170849589992526,0.3321360917942815,0.08454823062038201,0.916949943744914,-1.2715190854965683,-1.4423960535540985,0.4473658829984827,0.10960758715401925,-0.1337955479412715,-0.23801751385303616,1.2776735975825748,0.8079312982032353,0.2844010150695661,-0.014632116014058597,0.2653474095485135,0.24725060365551835,0.041007657255514154,-0.009795684316111053
Bulgaria,1.9501106573732951,-1.655068102066933,-1.388563987114195,-0.010656664460908332,-0.8931970217924086,-0.27409777842644883,0.5188653496297035,1.3176714553937636,-0.6462954415588554,-1.7080650635491375,0.2522293435856843,-0.423359410388399,-0.1158491364630889,-0.30417761716269087,-0.798066701474881,-0.9046411705288965,0.24613596760801457,0.0790503043240228,-0.20201946745570773,0.03835540010244246
Croatia,1.2588182128174292,-0.3094143927996405,-1.8216647132564363,0.7437457127579621,-0.9891906230416578,0.10512240107526649,-0.4424376885218995,-0.6510856670462631,0.6859052933467313,0.4659113854798573,-0.6638094356469212,0.22659273243614506,-0.40303202401564237,-0.4589388415442781,-0.10760363411094755,0.0494083470557143,0.04353515788374101,0.6556442686134788,0.009844443965660931,-0.40159525183482264
Cyprus,-2.8024040607609084,-2.0401933603204583,0.885637759879314,0.700542579187669,1.795241483743896,0.506689302287159,-2.3462285666365763,1.048332705668081,-1.1400151822332107,-0.9914320762117002,0.5688097205423904,0.387987013086503,0.4926018245496407,-0.4339617530357519,-0.12257580823997505,-0.2995191560013451,-0.014214095575026538,0.2855470549435037,0.2830438439634227,-0.26423943243793646
Czechia,-0.7924961826542263,-0.04398953099712908,0.22195073366714252,1.5614036437886238,-0.3351033623090976,-0.5186611473444261,0.17204070640599065,-0.20939107175698055,-1.5326122629551804,0.13664941987226328,-0.12239350105149409,-0.3395660849942353,1.0891954155090813,0.7062575326140226,0.29837968698874456,0.4779674468215075,0.2929807378488808,0.0021892845487612627,0.09473535883387564,0.19147222440143377
Denmark,-2.560011023530769,-1.026707001592706,-0.6055165753170411,-0.5833169119554129,-1.3971692990219253,0.3134088002705737,0.5964265529977055,1.5065415047741175,0.9435456927893525,-0.04828286760431496,-0.6311183206622548,0.6287080315577575,0.9137902091466632,0.44913266875202823,0.16077130687981575,0.7157660930390377,0.27668457423920934,0.1126478726811098,0.020147964604833785,0.11334313471644397
Estonia,-0.5789517524095482,2.4636079486367404,-0.2646248579638946,0.14776952608346022,-1.1825443371953275,-0.21642252305255014,-1.5702756655913555,0.5556899436699012,0.4235431466685831,0.20657338081740698,-0.010863517657910767,0.11104576489514284,-0.4276067680823093,0.19558168945556803,-0.2620337150148389,0.5629569111344642,-0.6494861078030199,0.09293883955607637,-0.025171361981281077,0.4315556508724782
Finland,-1.9674769021485816,2.2773227215713128,-1.2726871212737165,-2.9287640882869463,0.7050756618187215,0.267235619204352,0.5585890892279001,-0.9889467093098644,0.4539162029251233,0.6344091017084629,0.7184794147348407,-0.1388079546109796,0.6528981441776571,-0.6750238836903356,0.44229668076608114,-0.34098225514633923,-0.23571435610840885,0.6165604743777247,-0.3374670109865498,0.07718127099623016
France,-2.7206056835153727,0.46193600404043905,1.689296119648203,1.42965274118039,1.5592914605099553,-1.5510984494129227,0.9353707334394475,-1.302965230306624,0.026999388550809772,0.1938372345685197,-0.6099763976472918,-0.2911912431911522,0.11041392094776742,0.20065657045392124,-0.32917586401710336,0.29359554100765073,-0.6012753651465228,-0.29401421665207944,0.26056081564965916,-0.13552653924395738
Georgia,4.554047425558908,-1.378350052640442,0.46357479611443425,-1.203075126681572,1.4773196116922749,-0.6790691490116322,-0.8294247728341331,0.02767599538492877,0.3180731544392191,0.9577845824940077,-0.013707267732080804,-0.6015286043269695,0.5217571374622418,0.21556938516538404,0.4200218217142311,-1.1752562080079219,0.033193327620707994,0.3696696580744103,0.2127011435714935,0.09638584966179879
Germany,-1.8223106050110067,-0.3828612629628816,0.0957333112470324,-0.10713134727148674,0.25660495086576623,-0.5434988396354435,-0.43699416186389534,0.3645736287443722,0.4511868602250717,-0.342438369918193,-0.14838475021001887,0.12965527750899505,-0.17200935705894055,-0.7054814182732967,0.5172404690992162,0.08997310625966953,-0.42412779845159004,-0.14675258765373947,-0.3705314942352031,0.10378425887167735
