,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20
Albania,0.0031497534837816163,0.013462265049840574,0.006997396610395492,0.1249877023542836,0.0002038106549920818,0.0007666450057235534,0.028932003083605932,0.0030550538601523936,0.0036700898459696286,0.001578457714936027,0.010273866889780414,0.003119334917640565,0.0007769213311546777,0.03473003540154476,0.02455037129495975,0.005441488902159614,0.005945753895430916,0.0922305436440722,0.2061964476317485,0.010038576455218705
Armenia,0.07293482380802559,0.03072443216880876,0.06865334989395802,0.008727120368529918,0.05442257901573456,0.0006259036566123828,0.0048115078785679775,0.0662620367415203,0.007898382262581919,0.021104565447424745,0.057467819492900384,0.015793438220481314,0.02638979496970592,0.03715080524501572,0.0005983265260644501,0.05157546407674317,0.002488806820229038,0.0074675227027089265,0.008616799703727007,0.029986499598742514
Australia,0.023293265905339502,0.00020648454721865334,0.0016653749291654018,0.004870885012263228,0.011964830470307398,0.0030120834902567398,0.022669052415943556,0.007325812913236493,0.01085865859504238,0.014077260699778774,0.00081987387470489,0.003470064989287974,0.00039466171337100775,0.0031034067031963965,0.006632269548779822,0.0018707367779747617,0.0022044095150865043,0.008070680896745744,0.005246735454963916,0.00175693273486395
Austria,0.009391542565480311,0.0005105624628655157,4.661892553718969e-07,0.00019959854446736897,0.005986076526796435,0.04948351046999479,0.014084922165085894,0.0039351523670543035,0.001161820013379164,0.009877602933266309,0.015928963490952786,0.0031908319506042124,5.088180634688979e-05,0.08247925973824533,0.0680106508496304,0.018933142122318242,0.0023968838376823742,0.02722087322629303,0.025078815788881194,0.041706385011436205
Azerbaijan,0.11938458553550513,0.10860786665170005,0.023277493725888304,0.03595346733025192,0.065989364052356,0.054128630542457236,0.0020120671595599948,0.06734239204570747,0.024304821845741266,0.06155711321017997,0.02745943581174443,0.0070701412008089505,0.001470043979336119,0.002187785607193021,0.0001391801208544084,0.08502824847015847,0.012897654360714418,0.00197580798609731,2.1995506442051926e-05,0.0008375114476768199
Belarus,0.009663274628562283,0.10213320367118527,0.04572967731282028,0.01270440641803378,0.0007198642169162462,0.0234129729111587,0.009195593753042033,0.01160238994502423,0.027223277296816416,0.014008388814897325,0.0007041552994987408,0.15897573054816344,0.027380636649167258,2.670385892101948e-05,0.0027713148950369647,0.009472450234823527,0.036154268634807724,0.003985507148197488,0.05323660234714229,0.04229585438194183
Belgium,0.021092320099961877,4.4744372912068585e-07,0.03229738124634734,0.011529659542657172,1.2133853972533405e-05,0.007729430298719682,0.004290746736285128,0.015389523663315932,7.351189808928494e-05,0.014421589092254841,0.0005215367463904588,0.004854814961467264,0.00019594968368576767,0.009832170211543307,0.00034280494535599075,0.0022250629733531094,0.20016305657222153,0.0019045325760351866,0.0020144819122804606,0.009752276814671822
Bosnia and Herzegovina,0.015474011055094196,0.009603355179516453,0.07735727619058144,0.0015589788911281122,0.00010604477271372054,0.021741916083861976,0.04711381911827251,0.07615602089197888,0.007504885638346076,0.0005130840899037151,0.0009367905459242451,0.003353284418375385,0.12214824839306808,0.06885060494037645,0.009470946532816018,2.6136880262837308e-05,0.011877716990398501,0.012703455928187616,0.0003750430183991452,5.1396006447489366e-05
Bulgaria,0.013330296477077277,0.015922446436813145,0.023541667173763055,1.6049099737115616e-06,0.011835176841830483,0.001942753007479418,0.007845342022136586,0.06355496286505134,0.01566320177257037,0.12459945206813224,0.0033292805496452165,0.010608915666750141,0.0010042295684082898,0.00975918166559344,0.07457778526646136,0.09990613867724657,0.01022005967164148,0.001298536783815972,0.009102016346795956,0.0007879757428107556
Croatia,0.005554530203073155,0.0005564922012572678,0.04051746934490087,0.007817304757719884,0.01451577408949218,0.0002857571479463955,0.005704357992786569,0.015517132309700194,0.017641953209471917,0.009270730573609448,0.02305929455384539,0.003039096670799168,0.012154203788462135,0.022216136014418995,0.001355766750134151,0.000298016374042108,0.00031973009475498647,0.08932719614658173,2.1613920510964492e-05,0.08638472443944935
Cyprus,0.027528516264288455,0.024194726601773672,0.009576739407589558,0.006935490267196226,0.04781079545075874,0.0066388067833561375,0.16041433680072403,0.040228465183491345,0.048734849273511516,0.041979111687359974,0.016931412608620293,0.00891018947813838,0.01815680523043555,0.019863775827395496,0.0017593029534280157,0.010951880164468882,3.408330738853658e-05,0.016943476892914474,0.017867286224763367,0.037398576256521376
Czechia,0.0022014846164845688,1.1248036647480184e-05,0.0006014763981666518,0.034453906413408245,0.0016658572748480013,0.006956230938566656,0.0008625116659003467,0.0016049130669777488,0.08808114454691209,0.0007974856874666142,0.000783927482608849,0.0068249767580530005,0.08876852673931188,0.052612032678702736,0.010424845052851019,0.02788920369838887,0.014480428234568004,9.95982225522734e-07,0.0020015911687618826,0.019636829928390512
Denmark,0.022972325853404103,0.006127327684448025,0.004476694853087278,0.004808584239457946,0.02895864833122509,0.0025399720209671444,0.010366126008569159,0.08308017355535754,0.03338445031822687,9.956195694340244e-05,0.020843984863077966,0.02339648300446341,0.06247991120381928,0.021276891888810434,0.003026552311666937,0.06254343347085235,0.012914368150612284,0.0026368969222235034,9.053437874232621e-05,0.006880979323345922
Estonia,0.0011749139025729878,0.03527940504678823,0.0008550011450022143,0.00030858716147942714,0.020745078588195687,0.0012111877515194839,0.07185456170573847,0.011303170228625632,0.006726879910532193,0.0018224517016474132,6.1758981250187934e-06,0.0007298885681627028,0.013681589120925396,0.004034737475154871,0.008039803770117631,0.03868920330604438,0.07116115707935815,0.0017949057760002,0.0001413072997741091,0.09975471424171053
Finland,0.01356877316264169,0.03014582806254392,0.019776467468709046,0.1212207241488676,0.007374824102241627,0.0018466953102259868,0.009092586485021235,0.03579983069614289,0.0077262672822529235,0.0171888223482215,0.027013933936260885,0.0011404631871261284,0.03189615043808236,0.048061483745810984,0.02290648548515509,0.014193942252014903,0.009372929201092253,0.07899480371524492,0.025398836187076335,0.003190683053338215
France,0.02594492975025844,0.0012403426733966602,0.03484311621328172,0.028884790054925665,0.036069059634550836,0.06221359335033225,0.025495885384957943,0.06214423508511152,2.733544918632801e-05,0.0016046551832796184,0.019470864560015913,0.005018907399892031,0.000912210501893844,0.004246837718191244,0.012687821758682886,0.010522971335692763,0.0609888002615633,0.01796320496423115,0.015141516613545979,0.00983803833288696
Georgia,0.07269698427285501,0.011043255331595968,0.0026238865444703626,0.020454722337506615,0.03237644386060008,0.011924345734966476,0.02004733042650747,2.8037655317318645e-05,0.0037937821504427896,0.03917806628768849,9.832432311730214e-06,0.021417320210724948,0.0203696797099276,0.004901545761612291,0.02065735956849263,0.1686182526008723,0.00018586809754282256,0.028397151319108638,0.010089991886345316,0.004976068769299361
Germany,0.011640351701434654,0.0008520418262531029,0.00011190038527020122,0.0001621964056585293,0.0009768104148996524,0.007638424691481613,0.0055648544978134755,0.0048652559824524585,0.007633632419719811,0.005008090346534343,0.0011522261147516074,0.0009950226340547958,0.002213867107445058,0.052496464305194286,0.031326804329016564,0.000988245636516298,0.030345671011512313,0.004475264410270035,0.030619734658399848,0.005769295583754171
Greece,0.0009663071427213622,0.010282773652453028,0.01420951650379575,0.002477372132584854,0.03884853216063901,0.000536613799391147,0.0012624355065397586,0.002192339411656301,0.07357395340353733,0.0004909643238305295,0.0003872329988621147,0.006243424481761497,0.08564475650943135,0.016402533274572147,0.08168978170595939,0.002386493331529037,0.003810953615066861,0.012521758561237807,0.07550280175016541,0.044859805887901005
Hungary,5.264381428658801e-05,0.0007564863108952994,0.003109561791411957,0.03036488698303942,0.004902890506505836,0.003518007914490063,0.01329260947838438,0.03634729533266499,0.09045958124002997,0.025818093690106677,0.019527423021083762,0.1029939892264677,0.05880710210800651,0.021026962274628344,8.393693361177298e-06,0.006133144873596889,2.5962732586871906e-05,0.03037506534935475,0.00014527199680119403,0.009952518381754939
