,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20
Respiratory Infectious ,0.45689092538514126,-0.18768583165476135,0.5576063017350488,-0.014081093051767501,-0.5047206691304909,0.1116117044936801,0.20330330124396845,0.0650754694830987,-0.21518035734903052,0.17200370632831136,0.04384531683214011,0.06475624718457468,-0.0910784758772699,0.16587322896958462,0.1614154841251473,0.066226106018885,0.05588521773176478,-0.04907093537621924,0.010695706797756858,0.031024406906708078
Maternal conditions,0.6805293994869285,-0.23148577189429018,0.3561160258325435,-0.07082073409990822,0.30482300373225013,-0.06201942190989899,-0.20025008079246237,0.172760558717347,0.21275014152479568,0.2856929060092473,-0.09167434125382726,-0.07110243258731837,-0.12429943271262722,0.0762561603772638,-0.05670267481011037,-0.15684782153848614,-0.0673656226524968,-0.09173779268645758,-0.0666257245950688,-0.02568751033310938
Neonatal conditions,0.6954552493224372,-0.529380971387389,0.21063461473295,-0.23559717087165252,0.08688520077268228,-0.09045719464822963,0.1039760136187855,-0.060337256875996365,0.14544506259167567,-0.058960925906896756,0.07487243314004763,0.06952908702450343,0.0521338760096699,-0.015809494203465318,-0.10092792481225223,0.25788019627971265,-0.025145384954657738,-0.05592181924849195,0.04102652600864674,-0.0927301406481914
Nutritional deficiencies,-0.576775323459836,-0.16597509228814686,0.2973056631973714,0.3751536544463414,0.24803226361225192,-0.3744398899758737,0.2360372852448346,-0.10997261571644053,-0.2113244945885925,0.13656566739942605,-0.19256369309870952,0.026015065469228202,0.12209857550784516,0.12159215041785502,-0.17677998874183706,0.008609366188220745,0.02507306627031843,0.029464841389818645,-0.0007165577530053308,0.01627586674833989
Malignant neoplasms,0.3132618914943012,0.22657414688240168,-0.1968487490841797,0.6577144233537509,-0.4008016322804587,0.2538926154857321,0.18401345343311537,-0.07627805571208265,0.17828097680356003,0.08867243876087164,-0.24729893185996346,-0.06769360074592144,0.06143858649596641,-0.09270365132470292,-0.02307876508965345,0.045362477226547654,-0.07973191909056762,-0.10203668968128407,-0.004754764070975844,0.0012669381256348127
Other neoplasms,-0.5438196903828297,0.07074960337233142,0.2513413172310249,0.38843224421338934,-0.3695275839199618,-0.3237301926960575,-0.045022213638472364,-0.10174019150518684,0.2541405808721325,0.1707838475567616,0.37917820101368205,0.04683437253657826,-0.014161885033847106,-0.09660315886898635,-0.014818699788895303,-0.05748622351912414,0.030516470506222557,0.0014636902143799046,0.016796288219674604,-0.01425761779402897
Diabetes mellitus,0.47894139599020497,-0.5237690130134193,-0.27199495678903834,0.3377303983512087,0.2203013485500762,0.1128768975790421,-0.26864331553661047,-0.2084157615763852,0.17237720477528234,0.05818923953608097,0.06790753527837795,0.03860903179960696,0.23656813597801962,0.19549890470502385,0.12691469355132012,0.01235208329967174,0.05492682796035445,0.034094476157082214,-0.010680822676409324,0.012060215532997342
"Endocrine, blood, immune disorders",-0.7325194097923923,-0.30344316476625477,0.3056598706066931,0.0033149545646060452,0.21943613481110477,-0.2515970469478847,-0.17152916610923233,0.1633741170625491,0.034575079917810135,-0.05792308168771385,-0.1558387196379663,0.029582339273577375,0.12704785639594515,-0.15930241741239937,0.20145616141735934,0.07616295885522176,0.016025759032144475,-0.11773696755789201,-0.0055717771358478494,0.035975488155508786
Mental and substance use disorders,0.033293965666300725,0.8493503639138094,-0.06109508939808159,-0.07014441650243414,0.011655533046701765,-0.09358886842428116,0.050708608117120635,0.21524418150031663,0.16585300442237652,0.012195696217351512,-0.013743949633149703,0.4133324149997016,0.0834954133468236,0.09969935569885885,0.016059506698449542,0.024479608141383044,-0.127628755055962,0.025819517878081212,-0.002869721577248317,0.018778297018709787
Neurological conditions,-0.5503521672902564,-0.025434218047337233,0.03989801009157816,-0.4859937531439247,0.22446549650450615,0.34249271438833767,0.30580275582611416,-0.06167338340959162,0.08895233336843762,0.3992726322682406,0.06058044465467365,-0.01804936806810028,0.18635796549056813,-0.09469043534456846,0.013248326029574145,-0.019588078998503292,0.0037803330823695538,0.021279414962082452,0.014051255795194825,0.012644770545248665
Cardiovascular diseases,0.9147435148224246,0.020016829663324135,-0.1834051443782966,0.005802076973212369,0.18424330814473536,-0.08608818408689951,0.04665823619624016,0.14289134323421743,0.008310893761987802,-0.005545189716033046,0.17191000808837215,-0.061915580059180485,0.03257869514255142,-0.03119739299228878,-0.12036739558546321,0.02285022369033223,0.03291342713616817,-0.08428418528792699,0.10827803523130675,0.13230774503736906
Respiratory diseases,-0.16242188756122128,-0.722145383193313,-0.06659968629556334,0.16922087701634592,-0.034328554071188865,0.08670767282997792,0.38690258000086947,0.4088163729192285,0.16654905282785376,-0.2301750791380261,0.0313941849559118,0.03323982346251128,0.07560052957814545,0.03481947023750573,-0.004839284528289043,-0.13795885996162185,0.07969579181541811,0.008163578377844222,0.00152625970672348,-0.0323449093411384
Digestive diseases,0.7923698148470829,0.2439655221943314,0.3363738486880186,0.037590175770695754,-0.12254671470509407,-0.14009129956053393,0.02821794647292224,0.20545721129839517,0.047388458411355354,-0.008513647289152288,0.014989965329714913,-0.2512808411906337,0.15512926572728863,-0.06126463632134779,0.03083388658269617,0.07485465963107517,-0.05021137543286351,0.17247043376966323,-0.10205242507758851,0.02015852609870211
Genitourinary diseases,0.4264292495621585,-0.687614186860384,-0.08889614223274982,0.3275580759109304,0.16675829998389738,0.09890360789894406,-0.0814590154982753,0.10262746518731924,-0.08296935275643239,0.1965606114195788,-0.07895773339770394,0.2454240871783877,-0.17835490884251412,-0.1808660310786835,0.0008924563038961111,0.046929500560619224,0.023178159186223495,0.13516384088378447,0.020137730400890137,0.013841118503507414
Skin diseases,-0.2618837796865617,0.1460099702588222,0.6589252341652229,0.24039215019497537,0.06672366132745325,0.4953109156589601,-0.2905594635414842,0.07177219873764967,-0.14835372258261306,-0.14563538931748318,0.11769207818182918,0.08481195295540872,0.12239177337702967,-0.032324219836212656,-0.1423455007165628,-0.008806577956814566,-0.002636952288688589,-0.022785591584593288,-0.018307955971494417,0.002166485546421091
